id_tag,id_affaire,id,Type_fraude,feature1,feature2,cluster,type_fraude,date_system
119,6753252023-02-22 10:20:39.560,6753252023-02-22 10:20:39.560,fake tags,0.08728821462625502,0.2001082044002489,1,fake tags,2024-05-31 09:05:47.444372
119,6773972023-03-21 09:10:40.781,6773972023-03-21 09:10:40.781,fake tags,0.11774416838306756,0.016766759353838645,1,fake tags,2024-05-31 09:05:47.444372
119,6778892023-03-28 08:09:42.249,6778892023-03-28 08:09:42.249,fake tags,0.052829306300552825,0.04322760686887095,1,fake tags,2024-05-31 09:05:47.444372
119,6779152023-03-28 10:51:08.203,6779152023-03-28 10:51:08.203,fake tags,0.7756654973916284,0.041730547592750966,0,fake tags,2024-05-31 09:05:47.444372
119,6779262023-03-28 12:23:14.991,6779262023-03-28 12:23:14.991,fake tags,0.3446264049330733,0.18217438696717891,0,fake tags,2024-05-31 09:05:47.444372
119,6779462023-03-28 14:24:35.835,6779462023-03-28 14:24:35.835,fake tags,0.5388665994927777,0.2929386058268727,0,fake tags,2024-05-31 09:05:47.444372
119,6779862023-03-29 09:52:31.298,6779862023-03-29 09:52:31.298,fake tags,0.6386924309710011,0.8769308981185936,2,fake tags,2024-05-31 09:05:47.444372
119,6779952023-03-29 10:08:42.096,6779952023-03-29 10:08:42.096,fake tags,0.543443785698978,0.8001649368021695,2,fake tags,2024-05-31 09:05:47.444372
119,6780192023-03-29 11:13:03.957,6780192023-03-29 11:13:03.957,fake tags,0.2942791210424497,0.13453314840698272,0,fake tags,2024-05-31 09:05:47.444372
119,6780422023-03-29 13:13:53.371,6780422023-03-29 13:13:53.371,fake tags,0.9554606773139085,0.6115599230958658,2,fake tags,2024-05-31 09:05:47.444372
119,6780502023-03-29 14:12:06.938,6780502023-03-29 14:12:06.938,fake tags,0.3341802393232858,0.2767442227317791,1,fake tags,2024-05-31 09:05:47.444372
119,6780872023-03-30 10:09:49.628,6780872023-03-30 10:09:49.628,fake tags,0.24421080916443694,0.9163292075386268,1,fake tags,2024-05-31 09:05:47.444372
119,6780922023-03-30 10:34:52.208,6780922023-03-30 10:34:52.208,fake tags,0.7089828791887471,0.45078978915842827,0,fake tags,2024-05-31 09:05:47.444372
119,6781022023-03-30 13:05:21.044,6781022023-03-30 13:05:21.044,fake tags,0.33485411877570104,0.5688843853528138,1,fake tags,2024-05-31 09:05:47.444372
119,6781152023-03-30 13:59:58.400,6781152023-03-30 13:59:58.400,fake tags,0.16497490453077868,0.526410332201653,1,fake tags,2024-05-31 09:05:47.444372
119,6781182023-03-30 14:11:47.086,6781182023-03-30 14:11:47.086,fake tags,0.10725374367957308,0.4701708850891003,1,fake tags,2024-05-31 09:05:47.444372
119,6782022023-03-31 12:59:07.241,6782022023-03-31 12:59:07.241,fake tags,0.8155614298002051,0.25118671742537524,0,fake tags,2024-05-31 09:05:47.444372
119,6782102023-03-31 13:47:21.455,6782102023-03-31 13:47:21.455,fake tags,0.08629034244475808,0.6194227245549164,1,fake tags,2024-05-31 09:05:47.444372
